sample	label	BRCA2d_prob_of_true	CDK12d_prob_of_true	MMRd_prob_of_true
sample_001_PC	ATMd	0.025299	0.038304	0.01382
sample_002_PC	ATMd	0.011519	0.003217	0.013638
sample_003_PC	ATMd	0.013083	0.013262	0.013247
sample_004_PC	ATMd	0.008025	0.006254	0.022683
sample_005_PC	ATMd	0.039843	0.05681	0.013782
sample_006_PC	ATMd	0.037727	0.026427	0.010827
sample_007_PC	BRCA2d	0.953573	0.044713	0.013795
sample_008_PC	BRCA2d	0.93884	0.008427	0.055381
sample_009_PC	BRCA2d	0.884058	0.028111	0.023144
sample_010_PC	BRCA2d	0.940483	0.050254	0.03723
sample_011_PC	BRCA2d	0.062393	0.003977	0.013719
sample_012_PC	BRCA2d	0.972692	0.016792	0.025218
sample_013_PC	BRCA2d	0.958752	0.026967	0.052389
sample_014_PC	BRCA2d	0.950188	0.004582	0.019017
sample_015_PC	BRCA2d	0.76292	0.016773	0.020263
sample_016_PC	BRCA2d	0.8817	0.011796	0.01999
sample_017_PC	BRCA2d	0.933386	0.042524	0.015981
sample_018_PC	BRCA2d	0.967347	0.011671	0.059719
sample_019_PC	BRCA2d	0.977667	0.002669	0.01403
sample_020_PC	BRCA2d	0.873422	0.01114	0.014093
sample_021_PC	BRCA2d	0.885765	0.596404	0.021601
sample_022_PC	BRCA2d	0.941692	0.00407	0.015633
sample_023_PC	BRCA2d	0.845609	0.087094	0.044033
sample_024_PC	BRCA2d	0.835699	0.007449	0.018637
sample_025_PC	BRCA2d	0.900283	0.01634	0.024511
sample_026_PC	BRCA2d	0.962697	0.020837	0.026912
sample_027_PC	BRCA2d	0.709746	0.018279	0.007903
sample_028_PC	BRCA2d	0.819789	0.010929	0.03977
sample_029_PC	BRCA2d	0.849253	0.022751	0.014126
sample_030_PC	CDK12d	0.059073	0.765674	0.027153
sample_031_PC	CDK12d	0.035724	0.852731	0.032566
sample_032_PC	CDK12d	0.039595	0.633795	0.032665
sample_033_PC	CDK12d	0.043524	0.534971	0.011008
sample_034_PC	CDK12d	0.081241	0.841046	0.015115
sample_035_PC	CDK12d	0.07144	0.87667	0.018336
sample_036_PC	CDK12d	0.04277	0.252996	0.012473
sample_037_PC	CDK12d	0.098018	0.057843	0.013989
sample_038_PC	CDK12d	0.229967	0.88349	0.032303
sample_039_PC	CDK12d	0.01232	0.039577	0.027896
sample_040_PC	MMRd	0.014435	0.026588	0.786568
sample_041_PC	MMRd	0.034382	0.033444	0.918341
sample_042_PC	MMRd	0.001188	0.004917	0.684367
sample_043_PC	MMRd	0.008596	0.008575	0.929924
sample_044_PC	MMRd	0.135687	0.017505	0.907071
sample_045_PC	MMRd	0.029628	0.005448	0.908339
sample_046_PC	MMRd	0.026458	0.011919	0.886041
sample_047_PC	MMRd	0.012716	0.003056	0.869843
sample_048_PC	MMRd	0.015997	0.001879	0.946649
sample_049_PC	MMRd	0.010546	0.007217	0.930779
sample_050_PC	MMRd	0.011227	0.005117	0.906249
sample_051_PC	MMRd	0.021896	0.003865	0.792888
sample_052_PC	MMRd	0.006408	0.017398	0.664976
sample_053_PC	MMRd	0.152407	0.009447	0.914966
sample_054_PC	MMRd	0.002846	0.002388	0.643986
sample_055_PC	MMRd	0.003248	0.007614	0.866515
sample_056_PC	DRwt	0.103782	0.009469	0.014522
sample_057_PC	DRwt	0.004271	0.004597	0.021949
sample_058_PC	DRwt	0.004929	0.003176	0.034289
sample_059_PC	DRwt	0.003164	0.012581	0.01873
sample_060_PC	DRwt	0.007557	0.004099	0.017502
sample_061_PC	DRwt	0.010998	0.022435	0.019955
sample_062_PC	DRwt	0.008106	0.020952	0.017949
sample_063_PC	DRwt	0.005198	0.004488	0.020986
sample_064_PC	DRwt	0.011505	0.007758	0.015451
sample_065_PC	DRwt	0.014592	0.012307	0.011513
sample_066_PC	DRwt	0.006116	0.004855	0.024837
sample_067_PC	DRwt	0.011833	0.020876	0.029166
sample_068_PC	DRwt	0.018613	0.006695	0.019491
sample_069_PC	DRwt	0.007002	0.010547	0.025827
sample_070_PC	DRwt	0.038466	0.025211	0.020255
sample_071_PC	DRwt	0.082722	0.020166	0.017641
sample_072_PC	DRwt	0.003548	0.008751	0.039487
sample_073_PC	DRwt	0.005268	0.007449	0.033478
sample_074_PC	DRwt	0.025017	0.014031	0.012111
sample_075_PC	DRwt	0.524299	0.005107	0.017909
sample_076_PC	DRwt	0.467466	0.005138	0.014754
sample_077_PC	DRwt	0.005074	0.007736	0.032619
sample_078_PC	DRwt	0.003853	0.006929	0.031122
sample_079_PC	DRwt	0.037523	0.012416	0.013614
sample_080_PC	DRwt	0.010754	0.004649	0.013333
sample_081_PC	DRwt	0.035123	0.007237	0.016725
sample_082_PC	DRwt	0.005615	0.026788	0.011748
sample_083_PC	DRwt	0.006111	0.004392	0.032056
sample_084_PC	DRwt	0.142015	0.00636	0.008406
sample_085_PC	DRwt	0.060913	0.015988	0.009372
sample_086_PC	DRwt	0.021241	0.003727	0.011379
sample_087_PC	DRwt	0.005261	0.004927	0.012105
sample_088_PC	DRwt	0.010553	0.003595	0.010631
sample_089_PC	DRwt	0.011293	0.001598	0.026143
sample_090_PC	DRwt	0.086811	0.020418	0.027798
sample_091_PC	DRwt	0.006978	0.005166	0.015111
sample_092_PC	DRwt	0.009377	0.004901	0.013839
sample_093_PC	DRwt	0.008246	0.0084	0.016466
sample_094_PC	DRwt	0.053948	0.002756	0.008508
sample_095_PC	DRwt	0.692792	0.004192	0.02302
sample_096_PC	DRwt	0.019993	0.035648	0.020689
sample_097_PC	DRwt	0.003629	0.002755	0.063616
sample_098_PC	DRwt	0.253094	0.007189	0.01341
sample_099_PC	DRwt	0.023139	0.039845	0.019144
sample_100_PC	DRwt	0.008473	0.004338	0.014435
sample_101_PC	DRwt	0.03983	0.005778	0.010542
sample_102_PC	DRwt	0.020693	0.007312	0.0101
sample_103_PC	DRwt	0.007902	0.007908	0.023645
sample_104_PC	DRwt	0.013704	0.016433	0.027573
sample_105_PC	DRwt	0.034316	0.007315	0.015074
sample_106_PC	DRwt	0.001585	0.00506	0.023591
sample_107_PC	DRwt	0.025882	0.021731	0.01405
sample_108_PC	DRwt	0.104505	0.008442	0.011107
sample_109_PC	DRwt	0.003651	0.008272	0.017738
sample_110_PC	DRwt	0.004066	0.013966	0.01284
sample_111_PC	DRwt	0.010193	0.00628	0.014112
sample_112_PC	DRwt	0.008418	0.004075	0.016831
sample_113_PC	DRwt	0.027358	0.01635	0.012161
sample_114_PC	DRwt	0.005682	0.023679	0.010688
sample_115_PC	DRwt	0.011384	0.013224	0.025637
sample_116_PC	DRwt	0.018676	0.004147	0.020827
sample_117_PC	DRwt	0.010405	0.006441	0.028348
sample_118_PC	DRwt	0.127054	0.027299	0.011496
sample_119_PC	DRwt	0.074724	0.010289	0.009264
sample_120_PC	DRwt	0.009411	0.011912	0.007778
sample_121_PC	DRwt	0.016248	0.019084	0.030587
sample_122_PC	DRwt	0.007484	0.004137	0.009334
sample_123_PC	DRwt	0.037101	0.008958	0.013376
sample_124_PC	DRwt	0.060449	0.00359	0.012208
sample_125_PC	DRwt	0.004245	0.019452	0.01748
sample_126_PC	DRwt	0.003916	0.008422	0.014675
sample_127_PC	DRwt	0.249371	0.010759	0.010532
sample_128_PC	DRwt	0.005675	0.005732	0.026486
sample_154_PC	DRwt	0.016645	0.012686	0.011217
